ID,Ph,Calcium(in ppm),Magnesium(in ppm),Chlorine(in ppm),Benzene(in ppb),THM(in ppb),Copper(in ppm),Nitrate(in ppm),Drinking Purpose,Ailments,Cement Industry Purpose,Irrigation Purpose
41,7.19036,244.97594,2.98153,80.57549,2.59336,183.71909,26.856,281.007,No,"Burns in mouth and throat,Stomach pain,Diarrhoea,Bladder Cancer,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
42,6.72458,65.13491,15.52727,3.1632,0.6193,6.104,1.23971,0.67502,Yes,Safe,No,No
43,8.07597,38.57318,23.41101,3.97132,0.47071,4.51946,0.3725,7.89277,Yes,Safe,Yes,No
44,8.21257,65.86366,25.50649,3.78062,2.54045,9.59228,0.68304,0.62941,Yes,Safe,Yes,No
45,5.20843,34.63933,55.7784,121.8971,3.49608,2.4133,0.14935,75.62921,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
46,6.20736,33.87266,49.50098,116.08459,4.90708,4.97191,0.06081,129.32917,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
47,7.77798,202.95933,98.92418,374.76039,363.45406,217.65976,97.61956,276.50596,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
48,6.90907,55.20447,52.20549,134.01556,3.75305,0.17502,0.01969,129.73907,No,"Nausea,Diarrhoea,Methemoglobinemia",No,Yes
49,6.77603,74.96567,28.47958,2.15914,4.30961,6.36963,1.45151,6.40855,Yes,Safe,No,No
50,8.26549,14.0566,2.19142,153.18391,93.46223,10.80591,12.4747,44.54327,No,"Diarrhoea,Bladder Cancer,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
51,7.86553,47.64197,23.10397,3.58082,4.18169,4.59074,0.39839,0.28855,Yes,Safe,Yes,No
52,5.616,245.97578,397.32279,304.68922,201.11408,259.72187,73.84916,105.51506,Yes,Safe,Yes,Yes
53,5.04011,380.54977,160.10804,76.92466,346.26118,393.55295,21.6734,88.71495,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
54,11.0151,391.86653,62.47778,91.75277,245.07838,145.94711,87.26006,76.39862,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
55,7.92968,46.26605,13.29112,3.13356,3.27135,6.00416,1.08951,4.44275,Yes,Safe,Yes,No
56,8.03115,24.51846,18.05675,2.49026,0.67035,8.2524,0.49809,6.07008,Yes,Safe,Yes,No
57,1.10971,177.53259,304.8406,431.60162,279.32508,239.10006,98.86345,152.06024,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
58,6.75626,349.36916,278.53129,430.42505,196.65242,164.50757,65.81815,266.10033,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
59,8.19633,42.11136,19.92593,2.54437,0.32693,5.22027,0.56148,2.02545,Yes,Safe,Yes,No
60,11.67615,327.31396,312.23124,242.90412,92.31922,314.86899,57.70373,141.29378,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
61,0.36284,15.74639,377.7053,215.28217,115.86968,240.61048,6.56592,283.49182,No,"Breathing Difficulty,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
62,5.81775,48.08095,34.19037,144.39423,4.50504,8.27361,0.04206,128.54198,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
63,1.59406,156.16077,267.26465,58.15621,179.53386,111.80071,50.38743,38.34175,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
64,0.06147,416.60571,361.08442,481.64412,392.28164,170.57088,85.58274,436.48526,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
65,10.4732,221.34313,47.54938,187.36247,52.16613,130.30966,16.6559,240.47748,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
66,6.01123,154.92487,224.12898,243.49897,52.62726,43.70532,4.4376,323.79089,Yes,Safe,Yes,Yes
67,5.45741,404.09935,63.14638,205.54372,113.50055,62.19296,98.9103,125.8316,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
68,8.14351,48.93941,12.14019,3.35572,1.83313,4.52891,1.75072,8.72976,Yes,Safe,Yes,No
69,13.5454,446.53442,317.51465,358.94986,38.16883,299.51582,49.44179,372.08702,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
70,5.4223,46.37815,52.10781,141.56509,2.83909,7.62545,0.01176,67.7797,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
71,6.91882,44.61068,39.93281,104.28104,1.6259,2.20861,0.15533,108.98144,No,"Nausea,Diarrhoea,Methemoglobinemia",No,Yes
72,7.83788,28.61255,28.32942,2.63499,1.6702,2.27835,0.29525,2.65864,Yes,Safe,Yes,No
73,6.77711,47.76034,45.56391,125.22255,0.91636,5.95831,0.15856,122.72342,No,"Nausea,Diarrhoea,Methemoglobinemia",No,Yes
74,7.49433,261.54033,15.3901,49.98918,163.90459,179.98391,1.11728,22.16942,No,"Burns in mouth and throat,Stomach pain,Diarrhoea,Bladder Cancer,Leukaemia,Anaemia,Bladder Cancer,Methemoglobinemia",Yes,No
75,6.60636,65.39318,10.96022,3.84176,1.7853,6.28429,0.6431,2.24148,Yes,Safe,No,No
76,6.77039,45.97021,32.68809,51.60074,4.4767,4.59051,0.14145,129.22655,No,"Nausea,Diarrhoea,Methemoglobinemia",No,Yes
77,6.26399,48.04501,1.06678,322.0631,356.27903,138.8481,37.62785,46.92344,No,"Breathing Difficulty,Diarrhoea,Bladder Cancer,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
78,6.96906,36.41903,27.74687,3.72686,2.9027,8.53566,0.10287,9.2231,Yes,Safe,No,No
79,5.41985,34.67368,58.04545,85.21709,4.10392,7.37746,0.18611,44.04713,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
80,7.71243,42.31258,26.18714,2.27478,4.58666,9.52586,0.11758,4.85713,Yes,Safe,Yes,No
81,10.50304,19.19565,143.14689,90.36952,31.63717,80.1965,29.8522,2.62445,No,"Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea",Yes,No
82,9.6944,397.47822,190.01285,160.34885,98.69597,108.59559,31.32911,301.90627,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
83,7.7209,21.07852,26.22755,2.76961,2.47743,9.4839,1.46116,0.29064,Yes,Safe,Yes,No
84,8.63617,346.55727,188.59711,385.72707,212.17518,158.34453,49.42245,206.12118,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
85,6.36479,321.60129,152.87034,258.12324,125.5637,26.11697,39.52997,488.27649,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
86,6.91129,71.57204,16.72644,2.2348,1.46103,9.07152,1.53711,8.21485,Yes,Safe,No,No
87,6.96407,72.33038,15.90568,3.52656,2.35923,4.5873,0.64548,6.02481,Yes,Safe,No,No
88,7.87085,53.35543,38.08476,426.40668,287.38596,111.69602,37.43255,319.94303,No,"Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
89,7.0543,228.87578,25.99074,101.84248,34.99712,187.57189,12.23544,239.59052,No,"Burns in mouth and throat,Stomach pain,Diarrhoea,Bladder Cancer,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
90,2.1656,480.81524,58.42981,236.08929,67.08352,374.31006,51.80783,224.17119,Yes,Safe,Yes,Yes
91,0.50611,485.11824,187.65417,371.08862,193.39998,48.8206,30.9122,271.32799,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
92,9.93773,126.09319,371.88335,57.28379,6.89733,303.9546,73.82037,281.37537,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
93,5.63629,341.23519,302.81174,34.98175,340.74833,2.86841,69.37832,81.70496,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Diarrhoea,Methemoglobinemia",No,No
94,6.41809,30.47641,52.1157,66.29032,1.94087,3.76393,0.11574,120.66124,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
95,7.4464,28.2966,10.8075,3.41425,2.70334,2.66601,1.81983,1.69767,Yes,Safe,Yes,No
96,2.3403,91.26168,65.06906,198.64635,235.31528,197.34818,94.00849,29.63325,Yes,Safe,Yes,Yes
97,6.69113,62.83938,21.82117,3.39606,3.13421,7.3599,0.21361,5.03299,Yes,Safe,No,No
98,7.79981,63.33087,14.55848,3.80684,3.46073,9.60868,1.77457,4.56117,Yes,Safe,Yes,No
99,5.83958,46.31222,50.59426,69.00217,2.94351,9.56142,0.05596,69.64068,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
100,13.79103,11.98421,144.75783,265.02933,211.02667,83.50827,78.89308,410.40831,No,"Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
101,5.6749,48.86141,36.88159,127.83645,1.00937,1.80745,0.05353,116.65219,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
102,7.35124,71.76691,12.1187,3.14174,1.89682,0.20144,1.14397,8.70994,Yes,Safe,Yes,No
103,8.45478,379.30376,71.28176,433.85479,75.7618,183.95697,95.63779,38.41269,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
104,11.65595,404.50917,173.146,94.98598,359.44151,113.05728,22.39331,13.3553,Yes,Safe,Yes,Yes
105,10.62763,421.60007,32.47325,202.41847,228.62863,19.88095,14.45569,223.45709,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
106,6.73459,35.29046,52.41282,123.60593,0.25423,2.96454,0.05224,43.62345,No,"Nausea,Diarrhoea,Methemoglobinemia",No,Yes
107,7.24831,410.75662,265.84784,304.97828,53.57724,178.37102,60.27268,146.23615,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
108,7.60138,69.77672,23.50422,2.13433,0.43062,6.07589,0.68642,9.21471,Yes,Safe,Yes,No
109,5.26641,388.35428,201.18835,419.15703,385.37095,370.95628,13.24722,21.8663,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
110,8.40946,31.90195,18.31105,3.40118,4.22613,6.58812,0.71939,9.43858,Yes,Safe,Yes,No
111,7.39075,35.33459,27.48168,3.40716,0.74642,4.82322,0.49169,9.56868,Yes,Safe,Yes,No
112,1.93249,456.89776,161.54733,340.04414,236.97165,232.21763,44.98395,201.44561,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
113,10.09232,140.96213,55.77278,334.86814,224.73918,368.99243,20.65715,256.58087,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
114,11.25578,26.3739,41.26042,161.55897,27.12361,190.39707,24.6437,228.44179,No,"Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
115,7.80408,166.12847,380.58755,10.44548,125.28487,381.32984,63.88909,449.5122,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
116,7.06435,24.38053,14.00723,3.21822,4.17543,3.2047,1.23215,4.19478,Yes,Safe,Yes,No
117,0.98409,129.19294,73.43636,130.76787,258.94785,383.05489,71.13515,308.63418,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
118,7.88859,25.79406,17.6583,3.56667,2.45342,7.00536,1.86813,1.4687,Yes,Safe,Yes,No
119,5.73861,49.50212,59.84292,94.74776,2.40062,4.55023,0.01335,105.11302,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
120,10.83361,284.8048,82.16909,59.53941,101.00924,179.28134,1.20972,199.28379,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Methemoglobinemia",Yes,No
121,5.30852,278.41234,313.69159,456.88983,208.60545,187.92364,8.71351,349.41984,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
122,6.81576,43.55612,51.95584,123.20136,3.56267,5.26005,0.03946,88.97461,No,"Nausea,Diarrhoea,Methemoglobinemia",No,Yes
123,5.71526,51.87993,40.7201,80.73085,1.41659,2.2442,0.17866,124.67364,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
124,7.09845,217.87684,264.09359,86.88511,232.51775,34.11089,61.87981,9.30191,Yes,Safe,Yes,Yes
125,7.17823,276.27648,213.23705,101.82195,358.01435,208.35428,13.06589,447.45583,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
126,5.39659,59.49227,39.64033,113.2513,0.43095,9.72547,0.17198,75.35489,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
127,11.19064,158.74557,51.04189,173.52732,152.62683,124.25695,21.64814,203.94526,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
128,5.41642,50.81953,55.87168,100.19925,1.00635,5.62114,0.14976,122.07546,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
129,6.28674,44.19043,48.6749,94.97413,4.0227,0.47025,0.12644,147.19841,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
130,9.29618,12.43453,162.71776,77.22357,135.88798,153.07162,0.4739,37.66986,No,"Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Methemoglobinemia",Yes,No
131,6.71602,49.78052,46.70435,99.88955,2.18332,1.05623,0.19329,31.70698,No,"Nausea,Diarrhoea,Methemoglobinemia",No,Yes
132,13.1193,386.8416,299.17502,244.81313,289.82819,270.03098,89.32212,382.58863,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
133,6.91975,21.14397,19.35932,2.54807,1.75349,8.65689,1.16673,2.98642,Yes,Safe,No,No
134,6.82018,57.12023,20.34094,3.66704,2.73654,2.50679,1.23846,5.77772,Yes,Safe,No,No
135,7.56348,247.09434,297.39977,308.01489,8.60538,228.19211,54.33224,24.04568,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
136,7.73246,20.33034,13.5736,2.26355,1.46798,6.00055,1.99524,0.13355,Yes,Safe,Yes,No
137,10.40107,346.13101,243.66234,493.48799,283.48721,359.58442,39.61072,417.12802,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
138,10.12077,268.67977,22.17165,165.10969,48.81648,147.79609,18.81196,284.71232,No,"Burns in mouth and throat,Stomach pain,Diarrhoea,Bladder Cancer,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
139,5.07611,34.27434,31.87051,79.78813,2.02982,8.53478,0.16762,116.11128,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
140,13.65222,270.13272,141.54123,340.49651,281.96862,399.26028,20.82224,109.13127,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
141,12.397,133.33605,62.40359,134.64726,34.8228,75.95603,69.51157,347.69516,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
142,3.67666,264.83396,266.85588,33.98272,326.28231,301.71051,76.18624,92.68157,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
143,3.86322,352.48749,242.25483,262.39969,319.60103,330.68748,94.63763,379.26625,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
144,5.42912,59.66961,32.55895,72.07871,3.07068,6.08554,0.01516,45.31124,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
145,10.33364,184.79469,122.56068,115.83089,106.5253,152.55527,1.15646,51.25518,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Methemoglobinemia",Yes,No
146,8.68878,194.75287,182.4732,69.11048,54.04749,175.19116,13.59037,213.01969,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
147,8.49774,57.78796,17.36984,2.1311,2.18326,5.96239,1.85637,5.37262,Yes,Safe,Yes,No
148,7.71429,66.94159,17.62144,3.04307,3.56574,3.15048,1.61722,0.76446,Yes,Safe,Yes,No
149,7.32373,69.18899,49.96351,60.20219,103.43745,134.08061,6.75952,159.5154,No,"Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
150,1.83547,161.70142,353.09332,97.59559,9.62099,94.1756,41.95669,471.27212,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
151,10.59322,159.56186,0.67369,83.61203,36.82492,38.14284,8.03903,46.3164,No,"Burns in mouth and throat,Stomach pain,Diarrhoea,Bladder Cancer,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
152,7.31715,61.24273,14.36172,2.87618,2.66547,6.48849,0.07896,5.76654,Yes,Safe,Yes,No
